Title,Published_date,Views,Likes,Dislikes,Comments
Taylor Swift - You Need To Calm Down,2019-06-17T12:13:12Z,308745082,4554404,0,246336
Taylor Swift - You Need To Calm Down (Lyric Video),2019-06-14T04:00:04Z,32243211,815982,0,51107
Taylor Swift - ME! (Live on The Graham Norton Show),2019-05-24T22:40:37Z,4022669,159997,0,6782
Taylor Swift - ME! (Live on The Voice / 2019) ft. Brendon Urie,2019-05-22T03:00:05Z,12285470,409720,0,12129
ME! (feat. Brendon Urie of Panic! At The Disco) (Live From The Billboard Music Awards /...,2019-05-02T05:32:27Z,68584714,1565213,0,53841
ME! (feat. Brendon Urie of Panic! At The Disco) (Lyric Video),2019-05-01T20:25:01Z,9630337,248266,0,7430
ME! Behind The Scenes: Je Suis Calme,2019-05-01T19:25:22Z,4774870,200634,0,5982
ME! Behind The Scenes: The Story of Benjamin Button,2019-04-30T10:11:11Z,5863011,283716,0,10360
Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) ft. Brendon Urie,2019-04-26T03:58:13Z,406294218,6190452,0,436877
Taylor Swift reputation Stadium Tour | Official Trailer | Netflix,2018-12-13T13:08:05Z,5160385,197617,0,14740
Taylor Swift and Robbie Williams - Angels - reputation Stadium Tour,2018-06-24T23:44:04Z,1637359,75157,0,3856
Taylor Swift - Delicate (Vertical Version),2018-05-15T21:02:41Z,7244073,232364,0,10026
Taylor Swift reputation Stadium Tour - Official Merch,2018-05-01T23:26:41Z,508346,41704,0,2343
Taylor Swift reputation Stadium Tour // Trailer 2,2018-04-05T21:06:54Z,419494,29009,0,2113
Delicate Music Video Dance Rehearsal Part 2,2018-03-13T21:35:45Z,2216334,86919,0,1731
Delicate Music Video Dance Rehearsal Part 1,2018-03-13T21:28:05Z,8134674,171920,0,3798
Taylor Swift - Delicate,2018-03-12T01:15:10Z,506518386,4337798,0,206340
End Game - Behind The Scenes,2018-02-09T16:01:53Z,2066202,91437,0,3667
"Taylor Swift - End Game ft. Ed Sheeran, Future",2018-01-12T05:00:01Z,275289221,3272066,0,175807
"Taylor Swift, BloodPop® - ...Ready For It?",2017-12-14T16:00:02Z,9737733,302803,0,11395
Taylor Swift's reputation Stadium Tour - Trailer,2017-12-13T15:00:00Z,534343,32528,0,2146
